		Ají panca			
		Huacatay	Sås		
		Ocopa			
		Potatis			
		Jumbomajs			
	Rachi	75 kr			
		Komage	Grillad		
	Arroz con mariscos	129 kr			
		Ris			
		Skaldjur			
		Jumbomajs			
		Aji panca			
		Salsa criolla			
		Aji amarillo			
	Pollo al achiote	115 kr			
		Kyckling	Filé		
		Pisco			
		Huacatay	Sås		
		Rocoto			
		Avokado			
	Cerdo chifero	115 kr			
		Fläskkarré			
		Sesamfrö			
		Ingefära			
		Sötpotatis			
		Salsa			
	Ceviche Clasicó	125 kr			
		Sejrygg			
		Koriander			
		Aji limó			
	Nikei	145 kr			
		Tonfisk			
		Passionsfrukt			
		Sesam			
		Dashi			
		Yuzu			
		Nori			
	Mixto en tres ajies	145 kr			
		Sejrygg			
		Pulpo			
		Skaldjur			
		Aji limó			
		Aji amarillo			
		Rocoto			
	Salmon chifero	125  kr			
		Lax			
		Wonton			
		Mirin			
		Soya			
		Aji amarillo			
	Suspiro limena	40 kr			
		Dulce de leche			
		Maräng			
		Pisco			
		Kanel			
	Pastel de manjar	45 kr			
		Tusenbladsdessert			
		Manjar			
		Lucuma			
Bröderna Olssons Garlic & Shots~	ingen	ingen	ingen	ingen	ingen
Korvkiosk från Åre~	ingen	ingen	ingen	ingen	ingen
Utö Värdshus	Utö Rävstaviken September 2012 03.jpg	#8DB3D0	#7E9FB9	<a href="https://commons.wikimedia.org/wiki/User:ArildV">Arild Vågen</a>	<a href="https://creativecommons.org/licenses/by-sa/3.0/deed.sv" rel="license">CC&nbsp;BY-SA&nbsp;3.0</a>
	Stekt inlagd strömming	75 kr			
		Inlagd strömming			
		Rödlök	Syrad		
		Prästostcréme			
		Knäckebröd			
	Fisksoppa	halv 55 kr, hel 110 kr	Soppa		
		Räkor			
		Torsk			
	Rökta räkor med aioli	110 kr			
		Räkor	Rökta		
		Aioli			
	Vitlöksbröd	35 kr			
	Seglartoast	130 kr			
		Oxfilé			
		Bearnaisesås			
		Pepparrot			
		Sommarsallad			
	Rabarberpaj	55 kr			
		Vaniljcrème			
Utö Värdshus 2~	ingen	ingen	ingen	ingen	ingen
Lila Foodtruck	TapasenBarcelona.JPG	#da6b00	#C46000	<a href="https://commons.wikimedia.org/wiki/User:Elemaki">Elemaki</a>	<a href="https://creativecommons.org/licenses/by/3.0/deed.sv" rel="license">CC&nbsp;BY&nbsp;3.0</a>
	Pinchos	40 kr/st eller 3 st för 90 kr			
		Rödbeta			
		Chevré-creme			
		Valnöt			
		Honung			
	Pinchos	40 kr/st eller 3 st för 90 kr			
		Gubbröra			
	Pinchos	40 kr/st eller 3 st för 90 kr			
		Fläsksida	Confiterad		
		Chutney	Äpple		
	Pinchos	40 kr/st eller 3 st för 90 kr			
		Lax	Rimmad		
		Vårlök			
		Honung	Tryffel		
	Salladsknyte med asiatisk nudelsallad	40 kr/st eller 3 st för 90 kr			
		Sallad			
		Nudlar			
		Biff			
	Salladsknyte med asiatisk nudelsallad	40 kr/st eller 3 st för 90 kr			
		Sallad			
		Nudlar			
		Lax			
Ingen~	ingen	ingen	ingen	ingen	
Charlie in the tree	Summer rolls with peanut sauce.jpg	#21715a	#1A5A48	Zoe Shuttleworth	<a href="https://creativecommons.org/licenses/by/2.0/deed.sv" rel="license">CC&nbsp;BY&nbsp;2.0</a>
	Vårrulle & marinerad, grillad fläskkarré	55 kr			
		Vårrulle			
		Fläskkarré	Grillad		
	Nem rán	60 kr			
		Vårrullar	Friterade		
		Kött			
	Nem rán	60 kr	Vegetarisk		
		Vårrullar	Friterade		
	Bánh mì paté	70 kr	Kyckling		
		Bánh mì			
		Baguette	Vietnamesisk		
	Bánh mì paté	70 kr			
		Bánh mì			
		Baguette	Vietnamesisk		
		Fläskkött			
	Bánh mì paté	70 kr			
		Bánh mì			
		Baguette	Vietnamesisk		
		Tofu			
	Cơm rau xào	80 kr			
		Grönsaker	Wokade		
		Ris			
		Tofu			
	Cơm gà xào	80 kr			
		Kyckling	Wokad		
